DATE,MODEL,RCP,RBP,RSP,REP,RDP,RPM71,RSTDEV,ROA1,9MFR,8MFR
2004-11-01,AdaBoost,0.004161472056393676,4.520610875536467e-05,0.02467519156796681,0.3271166148370523,0.12180271668540646,0.012359560954991761,0.026838852200330287,0.0016824901554874881,0.42921612056056613,0.052101774873049574
2004-11-01,LinearRegression,0.0,3.2259748567328455,1.5582429415762287,-0.0,6.613314454767257,3.4815636851338225,0.5128563235807033,4.51152226083532,1.7406676330035562,0.0
2004-12-01,AdaBoost,0.06972055681810921,0.2186413381990791,0.005809890662693053,0.11889809202154475,0.2409378237730003,0.16909639758702008,0.006650294704889757,0.003037760085956133,0.15194324379289353,0.015264602354814197
2004-12-01,LinearRegression,0.6294796073995139,2.2320253571472617,1.7817770966894382,0.0,5.24010996948396,3.0628384539682636,0.6298505053566663,3.459080841647231,2.0795175209066086,0.872614745878589
2005-01-01,AdaBoost,0.21050367816314386,0.04159370883169428,0.045343255849762856,0.30389486031765567,0.01095679214855134,0.01775005235760013,0.024459214245067303,0.004264129435632119,0.2629773460155111,0.07825696263538144
2005-01-01,LinearRegression,0.43129748643832677,2.439084038918996,1.7905398750282433,-0.0,4.845357503503343,3.5020123516497237,0.6993058352691525,3.844108479457548,1.8490889764723746,0.8787395405416897
2005-02-01,AdaBoost,0.11386533520747752,0.1194650894060651,0.007721345423581194,0.005504666400482296,0.24001097459975337,0.054723545003648066,0.08460290785595648,0.00016082501609571514,0.3626692226081942,0.011276088478746072
2005-02-01,LinearRegression,0.52485465580013,2.072521205922824,2.2778463964742213,-0.0,4.521544516521206,3.4889741222362787,0.880496830633445,4.043401390675664,1.7758294555686156,0.8419204681407787
2005-03-01,AdaBoost,0.19246290893993478,0.04344420702539216,0.005861971523152885,0.15037204731831347,0.01169707789398998,0.03755051123970849,0.008153528028187558,0.002478754190787313,0.5371830612112013,0.010795932629332037
2005-03-01,LinearRegression,0.0,2.2518865614888846,2.2996583810096736,-0.0,5.535621382278469,3.6649895194402364,0.0,4.444472234194701,2.397630653026253,0.0
2005-04-01,AdaBoost,0.005584051048392597,0.025469237710024125,0.007467632339704772,0.15008535000637338,0.006370079932144134,0.20274903287883533,0.151829311741261,0.003496616028989637,0.43747417910025105,0.009474509214023904
2005-04-01,LinearRegression,0.197382988945533,2.462358877445455,2.3420742038534685,-0.0,4.89429772673971,3.7143554489680852,0.0,4.394945892545572,2.410132660289827,0.3625134715555692
2005-05-01,AdaBoost,0.02146387478741124,0.25898616875530717,0.3956323331968038,0.002760439649870698,0.04673071929166033,0.10390032052559403,0.0022163335308290413,0.005221649198369748,0.13881535669135775,0.02427280437279633
2005-05-01,LinearRegression,0.0,2.5655710737971096,1.4306463448609321,0.0,6.1896106228179235,3.637308371934439,0.0,3.7550808561888704,2.3030493621151122,0.0
2005-06-01,AdaBoost,0.19121611388542326,0.06303104745759011,0.004810293507467185,0.23086546385864837,0.018461931941266153,0.05614622204430348,0.010668035503997149,0.007935870023923663,0.4037980622898024,0.01306695948757822
2005-06-01,LinearRegression,0.09912895771459505,3.162663213605194,2.1072672303357316,-0.0,5.696090788802449,3.8703927871600112,-0.0,4.7277000244605905,1.7895666544046098,0.0
2005-07-01,AdaBoost,0.19617290256025197,0.005569694092910243,0.016982219496954207,0.04435311450803981,0.13782286044459907,0.04850650818531691,0.17410150756471302,0.006405747743568111,0.2063477440071399,0.16373770139650667
2005-07-01,LinearRegression,0.926879647003937,2.8945181465404404,1.983208991349592,0.0,4.86645647591365,3.65315655885462,0.0,3.9918375294780906,1.1616161766746902,0.5526846943373094
2005-08-01,AdaBoost,0.41468857035382084,0.01242313634764299,0.14483341376666456,0.02759035622805326,0.0052078513901339584,0.09360649480283877,0.04854609667431068,0.001883676003407402,0.15492767368623087,0.09629273074689683
2005-08-01,LinearRegression,0.7794844122700598,2.9915605714250035,2.3653263639555755,-0.0,4.647881267068028,3.6895219670060637,-0.0,4.346543092243321,1.2215067501275918,0.0
2005-09-01,AdaBoost,0.007596831208871309,0.16849122300180655,0.15937522630684675,0.011132168036470151,0.18502107558969721,0.20066481801846642,0.1324649445586852,0.009612316689983484,0.1223139461357794,0.0033274504533935627
2005-09-01,LinearRegression,0.2068926025158645,3.055939227866815,2.879149191750778,-0.0,4.10191488765916,4.327504252251949,-0.0,4.430893295636853,0.7719531392976708,0.0
2005-10-01,AdaBoost,0.16150834560251895,0.1667556340785778,0.01302176185881483,0.0031798239567472366,0.38888037832783934,0.09699798547386429,0.04385691577417377,0.011702845506008735,0.10773423803700373,0.006362071384451372
2005-10-01,LinearRegression,0.05394576275675665,3.063531923509745,1.998534109569991,-0.0,3.98380540309305,4.472800533961943,-0.0,4.2637630051550435,2.5755158315306077,0.0
2005-11-01,AdaBoost,0.20873247974390283,0.1111446451908441,0.17483040299259592,0.07026740930546818,0.12863332515408318,0.19450761548335632,0.018842568947198476,0.00221356152818812,0.07751808929057381,0.013309902363789029
2005-11-01,LinearRegression,0.5335758546998146,3.2449546973443404,2.212799837417186,-0.719471268730056,4.483633020552701,4.569265474180111,-0.18539496252779736,5.138917961983525,2.384734773961818,-0.0
2005-12-01,AdaBoost,0.3110155671779952,0.00899525772145079,0.044284500489301624,0.2043741575243987,0.14776161061795856,0.004249454742153418,0.22187728154071706,0.010070917988325155,0.036217732853473614,0.011153519344225704
2005-12-01,LinearRegression,0.5778994561259776,2.7590793107995197,1.8896009434580945,-0.0,3.841353371103683,4.339512090636945,-0.0,4.719643246189172,2.4848734966322525,0.0
