DATE,MODEL,IC,T
2004-11-01,LinearRegression,0.023004717019642226,0.4314940389916876
2004-11-01,AdaBoost,0.04335752987194165,0.13279540564210227
2004-11-01,DecisionTree,-0.00755982277739405,0.7939177706781912
2004-12-01,LinearRegression,0.0,1.0
2004-12-01,AdaBoost,0.04073877313918391,0.163901659867812
2004-12-01,DecisionTree,0.021263820076442494,0.2656472927827457
2005-01-01,LinearRegression,-5.054237869786398e-32,0.9999999999999982
2005-01-01,AdaBoost,0.011294835161302705,0.6934957499102128
2005-01-01,DecisionTree,0.05206104505904969,0.05367095598819795
2005-02-01,LinearRegression,-0.01776043895633611,0.5381605150917081
2005-02-01,AdaBoost,0.03587165282751156,0.2124635840015159
2005-02-01,DecisionTree,0.027480583630325656,0.15274865515616157
2005-03-01,LinearRegression,-8.280457800417335e-32,0.9999999999999971
2005-03-01,AdaBoost,0.047990600648614,0.049495505036073306
2005-03-01,DecisionTree,-0.0014437013620861483,0.8336946133878645
2005-04-01,LinearRegression,0.0,1.0
2005-04-01,AdaBoost,0.054986160507461884,0.056299948405169935
2005-04-01,DecisionTree,0.04618208913065297,0.04647735357764693
2005-05-01,LinearRegression,0.0,1.0
2005-05-01,AdaBoost,0.02555597920673189,0.35912948417866397
2005-05-01,DecisionTree,-0.006738952697839208,0.3230671923353561
2005-06-01,LinearRegression,-2.2750875954059782e-32,0.9999999999999984
2005-06-01,AdaBoost,0.05384104325766976,0.044362314090727696
2005-06-01,DecisionTree,0.034246407373388514,0.20342265090404896
2005-07-01,LinearRegression,7.424734274767391e-32,0.9999999999999973
2005-07-01,AdaBoost,0.034143671067519664,0.23603210799693006
2005-07-01,DecisionTree,0.027754060423458793,0.12393003075020331
2005-08-01,LinearRegression,1.5182086738532806e-32,0.9999999999999989
2005-08-01,AdaBoost,0.06088705141063922,0.03095250508553972
2005-08-01,DecisionTree,-0.0013937724784393144,0.936985935983511
2005-09-01,LinearRegression,0.0,1.0
2005-09-01,AdaBoost,0.0416570722149189,0.1438081385112211
2005-09-01,DecisionTree,0.03400232891787,0.05558519558348742
2005-10-01,LinearRegression,3.3964028244575113e-32,0.9999999999999988
2005-10-01,AdaBoost,0.06595505279126654,0.019010345894124987
2005-10-01,DecisionTree,0.022475379843579273,0.20919929089048783
2005-11-01,LinearRegression,3.8300085900834164e-32,0.9999999999999987
2005-11-01,AdaBoost,0.06051802713918849,0.030258310355407252
2005-11-01,DecisionTree,0.004406584585902678,0.7498676703349926
2005-12-01,LinearRegression,0.0,1.0
2005-12-01,AdaBoost,0.058791906080513254,0.0398166096964737
2005-12-01,DecisionTree,0.04609492589446573,0.040494552376553965
2006-01-01,LinearRegression,2.4897987485432373e-32,0.9999999999999982
2006-01-01,AdaBoost,0.06027547253892811,0.0361756676559991
2006-01-01,DecisionTree,-0.001507665078995716,0.9389142533815924
